Dataset name,Dataset description,Granularity,Source,Purpose of the data ,Data controller,DPIA inclusion,Data Processor Organisations,Collecting and Sharing Governance
Covid-19 Hospitalisation in England Surveillance System (CHESS) - record level,"Contains epidemiological data (demographics, risk factors, clinical information on severity and outcome) on COVID-19 infection in persons requiring hospitalisation and ICU/HDU",,Public Health England,,,,,
COVID related death information,Patients who have died in hospitals in England who had tested positive for COVID-19 at time of death. Includes all deaths reported up to 5pm on the previous day. ,,Health & Care Providers,,,,,
"International data daily dump of cases (infected, recovered, fatalities)",ECDC data - number of cases and deaths by country,,Open Source Data,,,,,
Covid sitrep,"Daily situation report to collection information on the current burden on hospitals, including bed capacity and availability for COVIDand non-COVID patients, oxygen, non-invasive ventilation and ventilator demand and capacity, and staff absences. Includes snapshot data for number of patients in beds at 8am each day, COVID-19 admissions and discharges for the previous 24 hours and staff absences",,NHS Digital,,,,,
PHE Lab Test Data - Record Level,Positive test results from PHE SGSS (Second Generation Surveillance System). Anonymised. Includes Pillar 1 testing only,,Public Health England,,,,,
A&E sitrep,"Daily situation report submitted by all providers with a type 1 A&E department, collecting information such as number of A&E attendances in previous 24 hours, long stay patients and bed occupancy",,NHS Improvement,,,,,
Master Patient Index (MPI) - frailty flag,"De-identified demographics with SOA, LSOA and flags such as frailty which provide healthcare markers",,NHS Digital,,,,,
Care home beds,Capacity information for beds availability in care homes - received via LogicApp. Partial coverage of England care homes,,Health & Care Providers,,,,,
Aggregated 111 call (NHS Improvement),"Number of daily triaged calls per CCG & among triaged calls number of A&E, ambulance and primary care calls. Includes disposal of call. Not specifically COVID.
 
",,NHS Digital,,,,,
SUS+ ECDS,"Contains detail on emergency care attendances, including to A&E and urgent care/walk-in centres. Includes detail such as presenting complaint, investigations, arrival mode, attendance duration and outcome to understand reasons for attendance, severity and emergency admissions.",,NHS Digital,,,,,
Record level 111 data (NHSI),"Information regarding each 111 call (connect timestamp, triage timestamp, clinical advisor transfer timestamp, is ambulance called, symptom group, disposition, etc). ",,NCDR,,,,,
111 telephony service activity records,Gives aggregate view of calls to the 111 service broken down by CCG and disposition code,,NHS Digital,,,,,
999 telephony activity records,Gives aggregate view of calls to the 999 service broken down by CCG and disposition code,,NHS Digital,,,,,
Segmentation,Record level registry containing condition flags for comorbidities for all patients in the master patient index. Developed using the Bridges to Health population segmentation approach,,NHS England,,,,,
ESR sickness,"All absence specifically marked as related to COVID-19 - that includes sickness, self-isolation and special leave (e.g. carer’s leave)

",,NHS ESR,,,,,
Ventilator Orders,"From each supplier, country, price how many delivered each week",,Cabinet office,,,,,
Oxygen gas supply and capacity,"By trust and hospital - what is the oxygen supply, delivery capacity, gas pipeline system and ventilation system capacity",,Cabinet office,,,,,
SUS+ Outpatient (OPA),"Attendances into outpatient clinics with data held at record level. Contains detail such as specialty, source of referral, attendance date and appointment outcome",,NHS Digital,,,,,
UKHF,"UK Health Facts database - contains publicly available health-related datasets such as those published on Public Health England, NHS England Statistics and NHS Digital websites.",,UKHF/D,,,,,
ESR workforce,"Electronic staff record data. Includes number of hospital staff employed by trust, including specialty and staff group, and a count of ambulance staff. Includes some information on training to understand volumes of staff trained in ventilation
",,NHS ESR,,,,,
SUS+ Inpatient (Admitted Patient Care Episodes - APCE - and Admitted Patient Care Spells - APCS),"Inpatient admissions, includes detail such as length of stay, admission type (emergency / elective), diagnosis, procedures and discharge destination. ",,NHS Digital,,,,,
ICNARC,"Intensive care national audit and research centre. What support is being given to a patient and clinical information about that patient. Reporting completed; 
(i) after COVID case enters a unit
(ii) after 24 hours
(iii) after patient leaves critical care
(iv) after patient discharge",,ICNARC network,,,,,
111 online screening data,Gives aggregate view of use of the 111 online service broken down by CCG and disposition code,,NHS Digital,,,,,
Splunk 111 - Vodafone,"Raw 111 call data (1 day lag). Not linkable to other record level sources, broken down by area code.",,NHS Digital,,,,,
Shielded Patient List,"Dataset provided by NHS Digital, containing record level information for patients that are part of the shielding programme. ",,NHS Digital,,,,,
PHE negative test results,Negative test results from PHE SGSS (Second Generation Surveillance System). Anonymised. Contains Pillar 1 tests only,,Public Health England,,,,,
COVID Critical Care data,From DOS (Directory of Services). More detail provided in the adult critical care bed state definitions document,,Directory of services (DoS),,,,,
Testing PPE inventory,"Testing PPE inventory, burn rates, and demand forecasts.

The data included is: the inventory of PPE stock in each testing location, it includes the utilisation rate of PPE at each location, forecast demand, opening and closing stock projections for each day to support the PPE dashboard",,Deloitte,,,,,
Historical testing sites SITREPs,"This data includes historical sitrep response data from testing sites - their PPE inventory, testing kit inventory, and personnel. We need this to form a complete picture of testing site demand. 

Inventory of testing items, number of personnel on site, PPE and consumable inventory.
",,Deloitte,,,,,
Testing Site Predicted Capacity,"This dataset includes details of the predicted capacity of all testing sites at specific dates, based on inventory of the number of testing kits available and predicted demand.
",,Deloitte,,,,,
Testing Site Predicted Demand,"This dataset includes details about the predicted demand for testing at each site.
",,Deloitte,,,,,
COVID ISP SITREP,Replicated the COVID SITREP but for independent service providers,,NHS Digital,,,,,
Supply Chain - China Freight,Holds information on upcoming shipments of PPE from China to the UK,,Supply Chain Coordination Limited (SCCL),,,,,
UKHD,"Contains all reference data to be able to understand the other data sets. Includes codes as well as other reference material such as demographics, population etc.",,UKHF/D,,,,,
Supply Chain - PPE - SCCL Distribution Centre data,"Inventory, orders and deliveries from national distribution centres.",,Supply Chain Coordination Limited (SCCL),,,,,
Organization and Region Situation Reports,"Situation reports from trusts and regions, including RAG ratings of patient services, business continuity plans in place or suspended capabilities, as well as a forward look of the situation",,EPRR,,,,,
Lab inventory & Throughput,Describes the entire testing supply chain,,Deloitte,,,,,
